nct_id,source,condition,pmid,doi,title,publication_year,is_rct
NCT01313676,pubmed,stroke,29442524,10.1164/rccm.201711-2239OC,Exacerbations of Chronic Obstructive Pulmonary Disease and Cardiac Events. A Post Hoc Cohort Analysis from the SUMMIT Randomized Clinical Trial.,2018,True
NCT02310438,pubmed,stroke,28643570,10.1177/0269215517717060,"Home-based neurologic music therapy for arm hemiparesis following stroke: results from a pilot, feasibility randomized controlled trial.",2018,True
NCT02441556,pubmed,stroke,28361616,10.1177/1747493017701153,"Acute basilar artery occlusion: Endovascular Interventions versus Standard Medical Treatment (BEST) Trial-Design and protocol for a randomized, controlled, multicenter study.",2017,True
NCT01640119,pubmed,heart failure,31598912,10.1007/s40620-019-00656-5,Treatment of metabolic acidosis with sodium bicarbonate delays progression of chronic kidney disease: the UBI Study.,2019,True
NCT00000542,pubmed,heart failure,30943832,10.1161/JAHA.119.011961,Prevention of Heart Failure in Hypertension-Disentangling the Role of Evolving Left Ventricular Hypertrophy and Blood Pressure Lowering: The ALLHAT Study.,2019,True
NCT00180271,pubmed,heart failure,30857452,10.1161/JAHA.118.010346,Prognostic Importance of Defibrillator-Appropriate Shocks and Antitachycardia Pacing in Patients With Mild Heart Failure.,2019,True
NCT00968708,pubmed,heart failure,30371278,10.1161/JAHA.118.009114,Average Clinician-Measured Blood Pressures and Cardiovascular Outcomes in Patients With Type 2 Diabetes Mellitus and Ischemic Heart Disease in the EXAMINE Trial.,2018,True
NCT02133105,pubmed,heart failure,30369310,10.1161/JAHA.117.008455,Differential Effects of Levosimendan and Dobutamine on Glomerular Filtration Rate in Patients With Heart Failure and Renal Impairment:A Randomized Double-Blind Controlled Trial.,2018,True
NCT01155635,pubmed,heart failure,30153268,10.1371/journal.pone.0199347,Long-term use of carvedilol in patients with ST-segment elevation myocardial infarction treated with primary percutaneous coronary intervention.,2018,True
NCT01953874,pubmed,heart failure,26806668,10.1016/j.cct.2016.01.001,"Lessons learned from a clinical trial: Design, rationale, and insights from The Cardiovascular Improvements with Minute Ventilation-targeted Adaptive Sero-Ventilation (ASV) Therapy in Heart Failure (C",2016,True
NCT00846001,pubmed,heart failure,26719401,10.1093/ejcts/ezv448,Cardiac resynchronization therapy combined with coronary artery bypass grafting in ischaemic heart failure patients: long-term results of the RESCUE study.,2016,True
NCT02146196,pubmed,heart failure,26717214,10.2143/AC.70.6.3120178,Robot-assisted training for heart failure patients - a small pilot study.,2015,True
NCT00833352,pubmed,heart failure,26374852,10.1093/eurheartj/ehv422,Comparison of right ventricular septal pacing and right ventricular apical pacing in patients receiving cardiac resynchronization therapy defibrillators: the SEPTAL CRT Study.,2016,True
NCT00095238,pubmed,heart failure,24864045,10.1002/ejhf.85,Relationship between heart rate and mortality and morbidity in the irbesartan patients with heart failure and preserved systolic function trial (I-Preserve).,2014,True
NCT00543881,pubmed,heart failure,24722932,10.1055/s-0034-1369849,[Will telemonitoring be adopted by patients with chronic heart failure?].,2014,True
NCT00286182,pubmed,heart failure,23517485,10.1111/chf.12027,"Impact of epoetin alfa on left ventricular structure, function, and pressure volume relations as assessed by cardiac magnetic resonance: the heart failure preserved ejection fraction (HFPEF) anemia tr",2013,True
NCT01213862,pubmed,heart failure,23459887,10.1590/s0104-11692013000700004,"Home visit improves knowledge, self-care and adhesion in heart failure: Randomized Clinical Trial HELEN-I.",2013,True
NCT98675639,pubmed,heart failure,22989869,10.1093/eurjhf/hfs148,Quality of life and survival in patients with heart failure.,2013,True
NCT04736329,crossref,heart failure,,10.1186/s43044-023-00398-7,Telmisartan versus EnalapRil In heart failure with redUced ejection fraction patients with Moderately impaired kidney Functions; randomized controlled trial: “TRIUMF trial”,,True
