Study,Study.year
DOSE 2020,2020
Kumaran 2015,2015
Liu Yanhua 2020,2020
Marigold 2005,2005
Outermans 2010,2010
Puckree 2014,2014
Sekhar 2013,2013
Shin 2011,2011
Yadav 2016,2016
Alabdulwahab 2015,2015
Bhatia 2014,2014
Hendrey 2018,2018
Mendoza 2015,2015
Verma 2011,2011
Mansfield 2018,2018
SPIRES 2022,2022
Epple 2020,2015
Fan WS 2006,2006
Ge Y 2020,2020
Gelber 1995,1995
Bale 2008,2008
Choi YK 2013,2013
Brock 2005,2005
Haral 2014,2014
Kuberan 2017,2017
Thaut 2007,2007
Kim 2018,2018
Bergamin 2017 (TRICOP),2017
Blair 1986,1986
Bracey 1999,1999
Buckstein 2024a (RBC-ENHANCE),
Bush 1997,1997
Carson 1998,1998
Carson 2011 (FOCUS),2011
Carson 2013 (MINT pilot),2013
Carson 2023a (MINT),2023
Chapalain 2023,
Cooper 2011 (CRIT),2011
DeZern 2016,2016
Ducrocq 2021 (REALITY),2021
English 2024 (SAHaRA),
Fan 2014,2014
Foss 2009,2009
Gillies 2020 (RESULT-NOF),2020
Gobatto 2019 (TRAHT),2019
Gregersen 2015 (TRIFE),2015
Grover 2006,2005
Hajjar 2010 (TRACS),2010
Hayakawa 2023 (RESTRIC),
Holst 2014 (TRISS),2014
Hébert 1995 (TRICC pilot),1995
Hébert 1999 (TRICC),1999
Jairath 2015 (TRIGGER),2015
Johnson 1992,1992
Koch 2017,2017
Laine 2018,2018
Lotke 1999,1999
Markatou 2012,
Mazer 2017 (TRICS III),2017
Mullis 2023 (ORACL),
Murphy 2015 (TITRe2),2015
Møller 2019,2019
Naidech 2010,
Nielsen 2014,2014
Palmieri 2017 (TRIBE),2017
Parker 2013,2013
Prick 2014 (WOMB),2014
Shehata 2012,2012
So-Osman 2013,2013
Stanworth 2020 (REDDS),2020
Taccone 2024 (TRAIN),
Tay 2020 (TRIST),2020
Topley 1956,1956
Turgeon 2024 (HEMOTION),
Villanueva 2013,2013
Villarejo 1999,
Walsh 2013 (RELIEVE),2013
Webert 2008,2008
de Almeida 2015,2015
Byun 2023,
Kola 2020,2020
Salehi 2021,
Ali 2024 (PETS),
Morton 2022 (REAL pilot),
Robertson 2014,2014
Cholette 2011,
Cholette 2017,
Lacroix 2007 (TRIPICU),2007
Maitland 2019 (TRACT),2019
New 2025 (RePAST),
de Gast Bakker 2013,2013
Robitaille 2013,2013
Akyildiz 2018,2018
Jacqz-Aigrain 1994,1994
Arya 2001,2001
Anand 1999,1999
Najafian 2017,2017
Eker 2015,2015
Wang 2020,2020
Aladjem 1982,1982
Kjoller 1984,1984
Ferrara 2008,2008
Folwell 1997#,
Janknegt 1990#,1990
Rushton 1995,1995
Schulman 2001,2001
Segni 1982,1982
Sener 1998,1998
Skoog 1997,1997
Terho 1984#,1984
Tuvemo 1978#,1978
Martin 1993,1993
Post 1983#,1983
Yap 1998#,1998
Birkásová 1978#,1978
Dimson 1986#,1986
Fjellestad 1987#,1987
Natochin 2000,2000
Longstaffe 2000,2000
Neveus 1999#,1999
Gokce 2014,2014
Lottmann 2007#,2007
Montaldo 2012,2012
Taghavi Ardakani 2010,2010
Ferrara 2014,2014
Tullus 1999,2001
Ohtomo 2015,2015
Ahmed 2013,2013
Ng 2005,2005
Tuygun 2007,2007
Wille 1986,1986
Bak 2007,2007
Bolla 2014,2014
Evans 2011,2011
Fagundes 2017,2017
Faraj 1999,1999
Kasaeeyan 2015,2015
Keten 2020,2020
Kwak 2010#,2010
Ma 2007,2007
Onol 2015,2015
Tuncel 2014,2014
Vogt 2010,2010
Burke 1995,1995
Hoashi 1995,1995
Holt 1986,1986
Lee 2005,2005
Ghasemi 2016,2016
IRCT138807042503N1,2015
Kang 2003,2003
Seo 2001,2001
Vertucci 1997#,1997
Ye 2001,2001
Salih 2022,2022
Hamano 2000,2000
Moursy 2014,2014
Fera 2011,2011
Radmayr 2001,2001
Ma 2017,
Feng 2008,2008
Hascicek 2019,2019
Alsharnoubi 2017,2017
Wang 2009,2009
Bradbury 1995,1997
Gibb 2004,2004
Ozden 2008,2008
Sukhai 1989#,1989
Kahan 1998,1998
Leebeek 2001,2001
Naitoh 2005,2005
Rodriguez 2001,2001
Kim 2013,2013
Rashed 2013,2013
Ferrara 2016,2016
Ahmed 2021,2021
Austin 2008,2008
Ghanavati 2021,2021
Kazi 2020,2020
Shim 2021,2021
Ravanshad 2019,2019
Zhang 2018a,2018
Che 2013,2013
Harari 2004,
Barichella 2016,2016
Du 2022,2022
Ibrahim 2020,2020
Tan 2021,2021
Naito 2023,2023
Ashraf 1997,1997
Zhang 2018b,2018
DuPont 2023,2023
Brochard 2023,2023
Christensen 2006,2006
Kwok 2015,2015
Fekri 2021,2021
Jeon 2005,2005
McClurg 2011,2011
McClurg 2016,2016
McClurg 2018,2018
Tamburella 2022,2020
Lang 2018,2018
Kashi 2022,2022
Takaesu 2016,2016
Telimaa 1987,1987
Overton 1994,1994
Harrison 2000,2000
Strowitzki 2010,2010
Tanmahasamut 2017,2017
Kohler 2010,2010
Vahid‑Dastjerdi 2023,2023
El Taha 2021,2021
Vercellini 2005,2005
Vercellini 2002,2002
Razzi 2007,2007
Tang 2023,2023
Strowitzki 2012,2012
Abdou 2018,2018
Harada 2009,2009
Regidor 2001,2001
Cosson 2002,2002
Khalifa 2021,
Ceccaroni 2021,2021
Kyal 2018,2018
DiVasta 2021,2021
Cheewadhanaraks 2009,2009
