dataset_id,review_doi,conditions,n_studies,sample_analyses,search_keywords
CD002115_pub6_data,10.1002/14651858.CD002115.pub6,"gastrointestinal, neurological",21,Self-reported improvement in faecal incontinence (continuous data) | Number of participants with self-reported improvement in constipation (dichotomous) | Number of participants with self-reported improvement in constipation (continuous) | Mean number of bowel movements per week (continuous) | Mean time spent on bowel care per week (continuous; time taken for defecation in minutes) | Mean time spent per week on bowel care (dichotmous; participants spending < 10 minutes to pass stool) | Condition-specific quality of life measures (continuous) | Number of participants with adverse events (dichotomous) | Self-reported improvement in faecal incontinence (continuous) | Neurogenic Bowel Dysfunction score (continuous; GIV) | Mean number of FI episodes (continuous) | Mean time spent per week on bowel care (continuous) | Number of participants with adverse effects (dichotomous),gastrointestinal OR neurological
CD002122_pub3_data,10.1002/14651858.CD002122.pub3,"diabetes, mental_health, pain, dermatology",32,Pain (visual analogue scale)&nbsp; | Pain (4-point verbal rating scale) | Pain (dichotomous) | Assessment of implant (continuous scale) | Assessment of implant (dichotomous) | Quality of life | Adverse effects | Pain (visual analogue scale) | Patient satisfaction | Assessment of implant (continuous) | Assessment of implant | Pain (4-point verbal scale) | Patient satisfaction (dichotomous),diabetes OR mental_health OR pain OR dermatology
CD002203_pub5_data,10.1002/14651858.CD002203.pub5,"respiratory, infection, mental_health, pain, gastrointestinal",12,"FEV1 % predicted (mean change from baseline) | FVC % predicted (percentage change from baseline) | Number free of pulmonary exacerbation | Time to first pulmonary exacerbation | Adverse effects of antibiotic treatment | Serious adverse events | Admission to hospital | Number of days in hospital | Acquisition of Pseudomonas aeruginosa | Acquisition of Staphylococcal aureus | Eradication of Staphylococcal aureus present at baseline | Acquisition of macrolide-resistant Staphylococcal aureus | Acquisition of meticillin-resistant Staphylococcus aureus (MRSA) | Acquisition of Haemophilus influenzae | Acquisition of macrolide-resistant Haemophilus influenzae | Acquisition of non-tuberculous mycobacterium | Need for additional oral antibiotics | Number of courses of oral antibiotics | Number of days of additional oral antibiotics | Need for intravenous antibiotics | Number of courses of intravenous antibiotics | Number of days of intravenous antibiotics | Development of allergic bronchopulmonary aspergillosis | Change in BMI z score | Mean BMI score at 3 years of age | Change in weight (kg) from baseline | Change in total quality of life score (CFQ-R) | Change in physical domain of CFQ-R QoL score | Change in respiratory symptom domain of CFQ-R QoL score | Change in psychosocial domain of CFQ-R QoL score | Change in body image domain of CFQ-R QoL score | Change in eating disorder domain of CFQ-R QoL score | Change in problems with body weight domain of the CFQ-R QoL score | Change in inflammatory markers: IL-8 pg/mL | Change in inflammatory markers: neutrophil elastase µg/mL | Change in CRP | Pulmonary exacerbation rate (per child, per month) | Weight (kg) absolute values | Relative change in FEV1 (% predicted) | Days to first pulmonary exacerbation | Adverse events | Days in hospital | Number of hospital admissions | Acquisition of azithromycin-resistant Staphylococcal aureus",respiratory OR infection OR mental_health OR pain OR gastrointestinal
CD002243_pub5_data,10.1002/14651858.CD002243.pub5,"diabetes, cardiovascular, infection, mental_health, gastrointestinal, neurological",78,28-day all-cause mortality | 28-day all-cause mortality - sensitivity analysis based on methodological quality | 28-day all-cause mortality by subgroups based on study drug | 28-day all-cause mortality by subgroups based on treatment dose/duration | 28-day all-cause mortality based on mode of drug administration | 28-day all-cause mortality based on mode of drug termination | 28-day all-cause mortality by subgroups based on age | 28-day all-cause mortality by subgroups based on targeted population | 28-day mortality in participants with versus without critical illness-related corticosteroid insufficiency | Long-term mortality | Hospital mortality | 90-day all-cause mortality | Intensive care unit mortality | Length of intensive care unit stay for all participants | Length of intensive care unit stay for survivors | Length of hospital stay for all participants | Length of hospital stay for survivors | Number of participants with shock reversal at day 7 | Number of participants with shock reversal at 28 days | SOFA score at day 7 | Number of participants with adverse events | Number of participants with shock reversal at day 28,diabetes OR cardiovascular OR infection OR mental_health OR gastrointestinal OR neurological
CD002290_pub6_data,10.1002/14651858.CD002290.pub6,"hypertension, infection, mental_health, pain, gastrointestinal, renal",57,Relapse | Adverse events | Relapse at 12 months | Relapse by 12 months | Relapse rate | Infection rate | Relapse/treatment failure during MMF therapy (to 505 days) | Relapse rate with RTX during MMF therapy (to 505 days) | Steroid dose during MMF therapy (to 505 days) [mg/m2/day] | Relapse/treatment failure during entire study | Relapse rate/year | GFR at 12 months [mL/min] | Alopecia | Mean relapse rate/patient/month | Relapse during treatment according to risk of bias | Number with FRNS or SDNS | Sustained remission | Treatment failure | Serious adverse events | Infrequent or no relapses at 12 months | Number needing cytotoxic agents | Creatinine at end of study [µmol/L] | Remission | Overall reduction in prednisone dose | Changing versus fixed dose: relapse | Changing versus fixed dose: adverse events | High versus lower CSA target level: 2-year outcomes | High versus lower CSA target level: adverse effects | Relapse rate  | Cumulative prednisone dose [mg] | Relapse at 6 to 12 months | Relapse at 12 to 24 months | Leucopenia | Relapse at 24 months | Continuing frequently relapsing or steroid dependent SSNS at 6 months | Relapse at 6 months,hypertension OR infection OR mental_health OR pain OR gastrointestinal OR renal
CD002303_pub4_data,10.1002/14651858.CD002303.pub4,other,8,Reulceration at 6 months | Reulceration | Noncompliance  | Reulceration at 18 months | Noncompliance  at 18 months,other
CD002971_pub6_data,10.1002/14651858.CD002971.pub6,"infection, mental_health, neurological",12,Necrotising enterocolitis | Late-onset invasive infection | All-cause mortality | In-hospital rate of weight gain (g/kg/day) until term equivalent | In-hospital rate of head circumference growth (mm/week) until term equivalent | Weight (kg) at 18 months post-term | Head circumference (cm) at 18 months post-term | Bayley Mental Development Index at 18 months | Bayley Psychomotor Development Index at 18 months | Bayley-III | Cerebral palsy | Hearing impairment | Visual impairment | Bayley-III score < 70 | Neurodevelopmental disability at 18 months,infection OR mental_health OR neurological
CD003129_pub2_data,10.1002/14651858.CD003129.pub2,pain,5,Treatment response | Pain (visual analogue scale)  | Participant global assessment of well-being | Serious adverse events | Withdrawals due to adverse events | Sustained clinically inactive disease (Wallace criteria or as defined by study authors) | Treatment response (American College of Rheumatology criteria or as defined by study authors) | Function (Childhood Health Assessment Questionnaire or equivalent),pain
CD003214_pub4_data,10.1002/14651858.CD003214.pub4,"respiratory, infection, pregnancy",1,Mortality | Chronic lung disease at 28 days | Duration of oxygen supplementation (days) | Duration of assisted ventilation (days) | Age of weaning from ventilatory support (days) | Need for intravenous dexamethasone | Infants with one or more episodes of respiratory infection | Infants with one or more episodes of sepsis (positive blood culture),respiratory OR infection OR pregnancy
CD003216_pub3_data,10.1002/14651858.CD003216.pub3,gastrointestinal,32,Incidence of pressure ulcers | At least one adverse gastrointestinal effect | Pressure ulcers healed | Change in pressure ulcer area (cm²) | PUSH score | Change in pressure ulcer area (percentage) | Change in PUSH score | DESIGN-R score | At least one adverse gastrointestinal effects | Costs (EUR) | Acceptability: non adherence | At least one side effect | Pressure ulcer episodes | Diarrhoea episodes | Side effects | Change in pressure ulcer volume (mL),gastrointestinal
