dataset_id,review_doi,conditions,n_studies,sample_analyses,search_keywords
CD012429_pub2_data,10.1002/14651858.CD012429.pub2,"hypertension, diabetes, mental_health",2,Change in mental state (BPRS) | Change in mental state (PANNS) | Change in global state (CGI-S) | Need for additional benzodiazpines | Any change in general symptoms (MADRS) | Total serious adverse events/effects | Severe adverse events/effects | Sedation | Constipation | Headache | Somnolence | Fatigue | Agitation | Insomnia | Akathisia | Extrapyramidal disorder | Dystonia | Dizziness | Tremor | Change in movement disorders (BARS) | Change in movement disorders (AIMS) | Change in movement disorders (SAS) | Abdominal discomfort | Diarrhea | Dyspepsia | Nausea | Toothache | Vomiting | Diabetes mellitus | Dry mouth | Stiffness in jaw | Leaving the study early for any reason | Due to adverse events/effects | Due to loss to follow-up | Due to lack of efficacy of treatment,hypertension OR diabetes OR mental_health
CD012445_pub2_data,10.1002/14651858.CD012445.pub2,mental_health,10,Child emotional and behavioural adjustment – postintervention | Child emotional and behavioural adjustment – latest follow-up | Parenting skills – postintervention | Parenting skills – latest follow-up | Parental depression/anxiety – postintervention | Parental depression or anxiety – latest follow-up | Parenting stress – postintervention | Parenting stress – latest follow-up | Parent mindfulness – postintervention | Parent mindfulness – latest follow-up | Parental depression/anxiety – latest follow-up,mental_health
CD012503_pub3_data,10.1002/14651858.CD012503.pub3,"cardiovascular, neurological",21,"Mortality during follow-up (for all studies) | Recurrence of ischemic stroke at the endpoint (for all studies) | Subgroup analysis, recurrence of ischemic stroke at the endpoint (based on unilateral or bilateral limb RIC intervention) | Subgroup analysis, recurrence of ischemic stroke at the endpoint (based on RIC intervention with reperfusion therapy) | Subgroup analysis, recurrence of ischemic stroke at the endpoint (based on RIC intervention timing) | Subgroup analysis, recurrence of ischemic stroke at the endpoint (based on the duration of RIC intervention) | Excellent functional outcomes (mRS 0-1) at 90 days (for all studies) | Subgroup analysis, excellent functional outcomes (mRS 0-1) at 90 days (based on unilateral or bilateral limb RIC intervention) | Subgroup analysis, &nbsp;excellent functional outcomes (mRS 0-1) at 90 days (based on RIC intervention with reperfusion therapy) | Subgroup analysis, &nbsp;excellent functional outcomes (mRS 0-1) at 90 days (based on RIC intervention timing) | Subgroup analysis, &nbsp;excellent functional outcomes (mRS 0-1) at 90 days (based on the duration of RIC intervention) | Treatment-related adverse events | Functional independence (mRS 0-2) at 90 days (for all studies) | Subgroup analysis, functional independence (mRS 0-2) at 90 days (based on unilateral or bilateral limb RIC intervention) | Subgroup analysis, functional independence (mRS 0-2) at 90 days (based on RIC intervention with reperfusion therapy) | Subgroup analysis, functional independence (mRS 0-2) at 90 days (based on RIC intervention timing) | Subgroup analysis, functional independence (mRS 0-2) at 90 days (based on the duration of RIC intervention) | Intracerebral haemorrhagic events during follow-up | &nbsp;Improvement in neurological impairment at the endpoint (for all studies) | Subgroup analysis, &nbsp;improvement in neurological impairment at the endpoint (based on unilateral or bilateral limb RIC intervention) | Subgroup analysis, improvement in neurological impairment at the endpoint (based on RIC intervention with reperfusion therapy) | Subgroup analysis, improvement in neurological impairment at the endpoint (based on RIC intervention timing) | Subgroup analysis, improvement in neurological impairment at the endpoint (based on the duration of RIC intervention) | Cardiovascular events during follow-up (for all studies) | Cardiovascular events during follow-up (based on unilateral or bilateral limb RIC intervention) | Cardiovascular events during follow-up ( based on RIC intervention with reperfusion therapy) | Cardiovascular events during follow-up (based on RIC intervention timing) | Cardiovascular events during follow-up( based on the duration of RIC intervention)",cardiovascular OR neurological
CD012532_pub2_data,10.1002/14651858.CD012532.pub2,other,6,Overall Survival | Progression-free survival | Overall survival,other
CD012570_pub2_data,10.1002/14651858.CD012570.pub2,"hypertension, cardiovascular",11,All-cause mortality | Withdrawal due to adverse effects (WDAE) | Serious adverse events | Adverse events | Systolic blood pressure | Diastolic blood pressure | Heart rate,hypertension OR cardiovascular
CD012572_pub3_data,10.1002/14651858.CD012572.pub3,"hypertension, cardiovascular, neurological",5,All-cause mortality | Cardiovascular mortality | Myocardial infarction (fatal and non-fatal) | Hospitalisation | Stroke (fatal + non-fatal + transient ischaemic attack) | Systolic blood pressure | Systolic blood pressure subgrouped on duration | Systolic blood pressure subgrouped on drug type | Diastolic blood pressure | Diastolic blood pressure subgrouped on duration | Diastolic blood pressure subgrouped on drug type | Quality of life | Success rate – withdrawal/resumption due to hypertension or other clinical reason,hypertension OR cardiovascular OR neurological
CD012586_pub2_data,10.1002/14651858.CD012586.pub2,pregnancy,169,Live birth or ongoing pregnancy | OHSS | Clinical pregnancy | Multiple pregnancy | Miscarriage | Ectopic | Cancellation | Oocyte number | Blastocyst number | Frozen embryo number | Cleavage embryo number,pregnancy
CD012594_pub2_data,10.1002/14651858.CD012594.pub2,other,2,Number of unexpected (previously unknown) adverse drug reaction reports,other
CD012609_pub2_data,10.1002/14651858.CD012609.pub2,other,8,Clinical relapse | Loss of clinical response | Loss of clinical response in patients with exclusively fistulating disease | Withdrawal due to adverse events  | Serious adverse events  | Total adverse events  | Endoscopic relapse | Withdrawal due to adverse events | Serious adverse events,other
CD012623_pub2_data,10.1002/14651858.CD012623.pub2,other,8,Macular hole closure | Visual outcome gained following intervention in ETDRS letters | Vision gained following intervention in ETDRS letters | Macular hole closure ,other
CD012635_pub2_data,10.1002/14651858.CD012635.pub2,other,16,All-cause mortality at 24 hours | All-cause mortality at 30 days | Total thromboembolic events in the first 30 days after injury | Arterial thromboembolic events in the first 30 days after injury | Venous thromboembolic events in the first 30 days after injury | Requirement for surgery or interventional procedure within first 24 hours  | All cause mortality at 24 hours  | All-cause mortality at 24 hours  | All-cause mortality at 30 days  | Mortality due to haemorrhage within 24 hours,other
CD012642_pub2_data,10.1002/14651858.CD012642.pub2,"respiratory, pregnancy",8,Mortality (latest time reported up to hospital discharge) | Hyponatraemia (< 130 mmol/L) | Hypernatraemia (≥ 150 mmol/L) | Necrotising enterocolitis | Patent ductus arteriosus | Bronchopulmonary dysplasia (≥ 28 days age) | Intraventricular haemorrhage (any) | Periventricular leukomalacia | Maximal weight loss % | Postnatal growth failure (weight < 10th percentile) | Chronic lung disease (36 weeks' PMA) | Weight gain | Linear growth cm/week | Percent weight change from birth to 2 weeks,respiratory OR pregnancy
CD012693_pub3_data,10.1002/14651858.CD012693.pub3,pregnancy,26,Live birth or ongoing pregnancy | Severe OHSS | Clinical pregnancy | Moderate or severe OHSS | Multiple pregnancy in randomised women | Log(N oocytes retrieved); data presented on the log scale - cannot interpret pooled estimates as N of oocytes | Poor response to stimulation | Normal response to stimulation | Hyper-response to stimulation | Cycle cancellations for poor response | Cycle cancellations for hyper-response | Cycle cancellations for poor or hyper-response | Women with at least one transferable embryo | Total dose of FSH | Duration of FSH administration | Cumulative live birth: 1 cycle (fresh + frozen) | Cumulative live birth: 18 months | Multiple pregnancy in women with clinical pregnancy | Dose-response: live birth or ongoing pregnancy | Dose-response: cumulative live birth: 1 cycle (fresh + frozen) | Dose-response: clinical pregnancy | Dose-response: log(N oocytes retrieved); data presented on the log scale - cannot interpret pooled estimates as N of oocytes | Dose-response: poor response to stimulation | Dose-response: normal response to stimulation | Dose-response: hyper-response to stimulation | Dose-response: cycle cancellations for poor response | Dose-response: women with at least one transferable embryo | Dose-response: total dose of FSH | Dose-response: duration of FSH administration | Cost per woman randomised | Dose-response: severe OHSS | Dose-response: moderate or severe OHSS | Dose-response: cycle cancellations for hyper-response | Dose-response: cycle cancellations for poor or hyper-response | Live birth or ongoing pregnancy (including FET for freeze-all),pregnancy
CD012712_pub2_data,10.1002/14651858.CD012712.pub2,"respiratory, infection, pregnancy, mental_health, neurological",31,"Mortality before hospital discharge | Duration of respiratory support, days | Chronic lung disease at 36 weeks | Pulmonary air leak syndromes | Length of hospital stay, days | Endotracheal intubation | Trauma to the nostrils and upper airway | Failure of respiratory support | Duration of oxygen therapy, days | Death or chronic lung disease at 36 weeks | Patent ductus arteriosus | Proven sepsis | Necrotising enterocolitis | Necrotising enterocolitis (NEC) (Bell stage ≥ 2) | Spontaneous intestinal perforation | Intraventricular haemorrhage, any | Intraventricular haemorrhage, Papile grade 3/4 | Periventricular leukomalacia | Retinopathy of prematurity, any | Retinopathy of prematurity, stage ≥ 3 | Endotracheal reintubation | Failure of extubation | Necrotising enterocolitis, Bell stage ≥ 2 | Neurodevelopmental disability at least 18 months' postnatal age or later",respiratory OR infection OR pregnancy OR mental_health OR neurological
CD012718_pub2_data,10.1002/14651858.CD012718.pub2,pain,24,Primary caries prevention (at end of study follow-up) | Caries arrest (at end of study follow-up) | Secondary prevention of caries (at end of study follow-up; analysed with OR) | Secondary prevention of caries (at end of study follow-up; analysed using Peto OR) | Secondary prevention of caries (at end of study follow-up) | Secondary prevention of caries (end of study follow-up) | Adverse effects | Pain (at end of study follow-up) | Aesthetics (end of study follow-up) | Dental pain or sensitivity (number of people with tooth sensitivity; end of study follow-up),pain
CD012757_pub2_data,10.1002/14651858.CD012757.pub2,cancer,3,Mortality at longest follow-up | Mortality at 12 months' follow-up | Mortality at 24 months' follow-up | Mortality at 36 months' follow-up | Mortality at 50 months' follow-up | Tumour response measures after treatment (overall response rate = complete response + partial response) | Tumour response measures after treatment (complete response) | Tumour response measures after treatment (partial response) | Tumour response measures after treatment (stable disease) | Tumour response measures after treatment (progressive disease),cancer
CD012850_pub2_data,10.1002/14651858.CD012850.pub2,"mental_health, pain",35,Self-reported joint pain at rest (dichotomous data) | Self-reported joint pain at rest (continuous data) | Clinically assessed joint pain at rest | Self-reported joint pain at mastication (dichotomous data) | Muscle pain at rest (dichotomous data) | Muscle pain at rest (continuous data) | Muscle pain at mastication (dichotomous data) | Muscle pain at mastication (continuous data) | Severity of joint noise | Frequency of joint noise | Range of mandibular motion (maximum unassisted (mandibular) opening | Range of mandibular motion (unassisted (mandibular) opening without pain) | Range of mandibular motion (maximum assisted (mandibular opening) | Depression | Self-reported joint pain at rest | Participant satisfaction or quality of life | Muscle pain at rest (dichotomous) | Muscle pain at rest | Muscle pain at mastication | Somatisation | Range of mandibular motion (unassisted opening without pain) | Range of mandibular motion (maximum assisted opening) | Clinically assessed joint pain at rest (dichotomous) | Clinically assessed joint pain at rest (continuous) | Self-reported joint pain at mastication | Range of mandibular motion (maximum unassisted opening),mental_health OR pain
CD012886_pub3_data,10.1002/14651858.CD012886.pub3,"cardiovascular, pain, neurological",8,Outcome 1 Newly diagnosed musculoskeletal disorders or symptoms (new onset of musculoskeletal pain - neck) | Outcome 2 Newly diagnosed musculoskeletal disorders or symptoms (new onset of musculoskeletal pain - back) | Outcome 3 Intensity of musculoskeletal symptoms (pain - overall) | Outcome 4 Intensity of musculoskeletal symptoms (pain - neck) | Outcome 5 Intensity of musculoskeletal symptoms (pain - back) | Outcome 6 Intensity of musculoskeletal symptoms (discomfort - neck) | Outcome 7 Intensity of musculoskeletal symptoms (discomfort - back) | Outcome 8 Intensity of musculoskeletal symptoms (discomfort - shoulders) | Outcome 9 Intensity of musculoskeletal symptoms (discomfort - right shoulder/upper arm) | Outcome 10 Intensity of musculoskeletal symptoms (discomfort - left shoulder/upper arm) | Outcome 11 Intensity of musculoskeletal symptoms (discomfort - right elbow) | Outcome 12 Intensity of musculoskeletal symptoms (discomfort - left elbow) | Outcome 13 Intensity of musculoskeletal symptoms (discomfort - forearms/wrists) | Outcome 14 Intensity of musculoskeletal symptoms (discomfort - right forearm/wrist/hand) | Outcome 15 Intensity of musculoskeletal symptoms (discomfort - left forearm/wrist/hand) | Outcome 16 Intensity of musculoskeletal symptoms (discomfort - buttocks) | Outcome 17 Intensity of musculoskeletal symptoms (discomfort - legs) | Outcome 18 Productivity or work performance (productivity - keystrokes per hour) | Outcome 19 Productivity or work performance (productivity - entered documents per day) | Outcome 20 Productivity or work performance (productivity - words types per three hours (compared to baseline)) | Outcome 21 Productivity or work performance (work performance - functioning) | Outcome 22 Productivity or work performance (work performance - manual precision) | Outcome 1 Intensity of musculoskeletal symptoms (discomfort - neck) | Outcome 2 Intensity of musculoskeletal symptoms (discomfort - back) | Outcome 3 Intensity of musculoskeletal symptoms (discomfort - shoulders) | Outcome 4 Intensity of musculoskeletal symptoms (discomfort - forearms/wrists) | Outcome 5 Productivity or work performance (productivity - words typed per three hours) | Outcome 1 Intensity of musculoskeletal symptoms (fatigue - overall),cardiovascular OR pain OR neurological
CD012891_pub2_data,10.1002/14651858.CD012891.pub2,pregnancy,20,Standard controlled ovarian hyperstimulation with gonadotropins versus controlled ovarian hyperstimulation with gonadotropins + letrozole: number of oocytes retrieved after ovarian stimulation | Standard controlled ovarian hyperstimulation with gonadotropins versus controlled ovarian hyperstimulation with gonadotropins + tamoxifen: number of oocytes retrieved after ovarian stimulation | Standard controlled ovarian hyperstimulation with gonadotropins + letrozole versus standard controlled ovarian hyperstimulation with gonadotropins + tamoxifen: number of oocytes retrieved after ovarian stimulation | Ovarian insufficiency grouped by strict or broad definition | Ovarian insufficiency grouped by receptor status | Live birth | Overall survival at 5 years | Overall survival at 12 years | Overall survival at 12 years grouped by receptor status | Clinical pregnancy | Clinical pregnancy grouped by receptor status | Disease-free survival at 5 years | Disease-free survival at 12 years | Disease-free survival grouped by receptor status | Overall survival | Clinical pregnancy grouped by age | Disease-free survival,pregnancy
CD012905_pub2_data,10.1002/14651858.CD012905.pub2,"cardiovascular, renal",20,Development of AKI | Need for kidney replacement therapy | Death | Change in serum creatinine from baseline | Change in urine output from baseline | Duration of ICU stay [days] | Adverse events | Sensitivity analysis: development of AKI based on risk of attrition bias | Change in serum creatinine from baseline [mg/dL],cardiovascular OR renal
CD012925_pub2_data,10.1002/14651858.CD012925.pub2,"hypertension, diabetes, cardiovascular, respiratory, infection, pregnancy, mental_health, gastrointestinal, neurological, dermatology",18,Provider adherence to recommended practice (dichotomous outcomes) | Provider adherence to recommended practice (continuous outcomes) | Client's health behaviour | Patient/client health status and well-being (desirable outcomes) | Patient/client health status and well-being (undesirable outcomes) | Client utilisation of primary healthcare and/or services (risk ratio) | Client utilisation of primary healthcare and/or services (risk difference) | Client utilisation of primary health care and/or services (odds ratio) | Patient/client health status and well-being (dichotomous outcomes) | Patient/client health status and well-being (inverse variance) | Patient/client health status and well-being (continuous outcomes) | Client utilisation of primary healthcare and/or services - hospitalisations for stroke | Provider adherence to recommended practice | Quality of data about services provided | Client utilisation of primary healthcare and/or services (odds ratio) | Client utilisation of primary healthcare and/or services (odds ratio) - never-missed early infant diagnosis visit | Client utilisation of primary healthcare and/or services (dichotomous) | Patient/client acceptability/satisfaction with the intervention,hypertension OR diabetes OR cardiovascular OR respiratory OR infection OR pregnancy OR mental_health OR gastrointestinal OR neurological OR dermatology
CD012942_pub2_data,10.1002/14651858.CD012942.pub2,mental_health,37,"Comparison 1 All antidepressants versus placebo, Outcome 1 Rate of treatment response measured as a reduction of at least 50% on the HAM-A | Comparison 2 Each class of antidepressant versus placebo, Outcome 1 Rate of treatment response measured as a reduction of at least 50% on the HAM-A | Comparison 3 Agomelatine versus placebo, Outcome 1 Rate of treatment response measured as a reduction of at least 50% on the HAM-A | Comparison 4 Duloxetine versus placebo, Outcome 1 Rate of treatment response measured as a reduction of at least 50% on the HAM-A | Comparison 5 Escitalopram versus placebo, Outcome 1 Rate of treatment response measured as a reduction of at least 50% on the HAM-A | Comparison 6 Sertraline versus placebo, Outcome 1 Rate of treatment response measured as a reduction of at least 50% on the HAM-A | Comparison 7 Venlafaxine versus placebo, Outcome 1 Rate of treatment response measured as a reduction of at least 50% on the HAM-A | Comparison 8 Vilazodone versus placebo, Outcome 1 Rate of treatment response measured as a reduction of at least 50% on the HAM-A | Comparison 9 Vortioxetine versus placebo, Outcome 1 Rate of treatment response measured as a reduction of at least 50% on the HAM-A | Comparison 1 All antidepressants versus placebo, Outcome 2 Acceptability | Comparison 2 Each class of antidepressant versus placebo, Outcome 2 Acceptability | Comparison 3 Agomelatine versus placebo, Outcome 2 Acceptability | Comparison 4 Duloxetine versus placebo, Outcome 2 Acceptability | Comparison 5 Escitalopram versus placebo, Outcome 2 Acceptability | Comparison 6 Paroxetine versus placebo, Outcome 2 Acceptability | Comparison 7 Sertraline versus placebo, Outcome 2 Acceptability | Comparison 8 Venlafaxine versus placebo, Outcome 2 Acceptability | Comparison 9 Vilazodone versus placebo, Outcome 2 Acceptability | Comparison 10 Vortioxetine versus placebo, Outcome 2 Acceptability | Comparison 1 All antidepressants versus placebo, Outcome 3 Rate of treatment response (defined by study authors) | Comparison 2 Each class of antidepressant versus placebo, Outcome 3 Rate of treatment response (defined by study authors) | Comparison 3 Duloxetine versus placebo, Outcome 3 Rate of treatment response (defined by study authors) | Comparison 4 Escitalopram versus placebo, Outcome 3 Rate of treatment response (defined by study authors) | Comparison 5 Paroxetine versus placebo, Outcome 3 Rate of treatment response (defined by study authors) | Comparison 6 Sertraline versus placebo, Outcome 3 Rate of treatment response (defined by study authors) | Comparison 7 Venlafaxine versus placebo, Outcome 3 Rate of treatment response (defined by study authors) | Comparison 8 Vilazodone versus placebo, Outcome 3 Rate of treatment response (defined by study authors) | Comparison 1 All antidepressants versus placebo, Outcome 4 Remission rate | Comparison 2 Each class of antidepressant versus placebo, Outcome 4 Remission rate | Comparison 3 Agomelatine versus placebo, Outcome 4 Remission rate | Comparison 4 Duloxetine versus placebo, Outcome 4 Remission rate | Comparison 5 Escitalopram versus placebo, Outcome 4 Remission rate | Comparison 6 Paroxetine versus placebo, Outcome 4 Remission rate | Comparison 7 Sertraline versus placebo, Outcome 4 Remission rate | Comparison 8 Venlafaxine versus placebo, Outcome 4 Remission rate | Comparison 8 Vortioxetine versus placebo, Outcome 4 Remission rate | Comparison 1 All antidepressants versus placebo, Outcome 5 Change in symptom levels | Comparison 2 Each class of antidepressant versus placebo, Outcome 5 Change in symptom levels | Comparison 4 Agomelatine versus placebo, Outcome 4 Change in symptom levels | Comparison 5 Duloxetine versus placebo, Outcome 4 Change in symptom levels | Comparison 6 Escitalopram versus placebo, Outcome 4 Change in symptom levels | Comparison 7 Imipramine versus placebo, Outcome 4 Change in symptom levels | Comparison 8 Paroxetine versus placebo, Outcome 4 Change in symptom levels | Comparison 9 Sertraline versus placebo, Outcome 4 Change in symptom levels | Comparison 10 Venlafaxine versus placebo, Outcome 4 Change in symptom levels | Comparison 11 Vilazodone versus placebo, Outcome 4 Change in symptom levels | Comparison 12 Vortioxetine versus placebo, Outcome 4 Change in symptom levels | Comparison 1 All antidepressants versus placebo, Outcome 6 Total number of participants reporting adverse events | Comparison 2 Each class of antidepressant versus placebo, Outcome 6 Total number of participants reporting adverse events | Comparison 3 Agomelatine versus placebo, Outcome 6 Total number of participants reporting adverse events | Comparison 4 Duloxetine versus placebo, Outcome 6 Total number of participants reporting adverse events | Comparison 5 Escitalopram versus placebo, Outcome 6 Total number of participants reporting adverse events | Comparison 6 Paroxetine versus placebo, Outcome 6 Total number of participants reporting adverse events | Comparison 7 Sertraline versus placebo, Outcome 6 Total number of participants reporting adverse events | Comparison 8 Venlafaxine versus placebo, Outcome 6 Total number of participants reporting adverse events | Comparison 9 Vilazodone versus placebo, Outcome 6 Total number of participants reporting adverse events | Comparison 10 Vortioxetine versus placebo, Outcome 6 Total number of participants reporting adverse events | Comparison 1 All antidepressants versus placebo, Outcome 7 Sleepiness/drowsiness | Comparison 2 Each class of antidepressant versus placebo, Outcome 7 Sleepiness/drowsiness | Comparison 3 Agomelatine versus placebo, Outcome 7 Sleepiness/drowsiness | Comparison 4 Duloxetine versus placebo, Outcome 7 Sleepiness/drowsiness | Comparison 5 Escitalopram versus placebo, Outcome 7 Sleepiness/drowsiness | Comparison 6 Paroxetine versus placebo, Outcome 7 Sleepiness/drowsiness | Comparison 7 Sertraline versus placebo, Outcome 7 Sleepiness/drowsiness | Comparison 8 Venlafaxine versus placebo, Outcome 7 Sleepiness/drowsiness | Comparison 9 Vilazodone versus placebo, Outcome 7 Sleepiness/drowsiness | Comparison 10 Vortioxetine versus placebo, Outcome 7 Sleepiness/drowsiness | Comparison 1 All antidepressants versus placebo, Outcome 8 Agitation/anxiety | Comparison 2 Each class of antidepressant versus placebo, Outcome 8 Agitation/anxiety  | Comparison 3 Escitalopram versus placebo, Outcome 8 Agitation/anxiety | Comparison 4 Paroxetine versus placebo, Outcome 8 Agitation/anxiety | Comparison 5 Sertraline versus placebo, Outcome 8 Agitation/anxiety | Comparison 6 Venlafaxine versus placebo, Outcome 8 Agitation/anxiety | Comparison 1 All antidepressants versus placebo, Outcome 9 Suicide wishes/gestures/attempts | Comparison 2 Each class of antidepressant versus placebo, Outcome 9 Suicide wishes/gestures/attempts | Comparison 3 Duloxetine versus placebo, Outcome 9 Suicide wishes/gestures/attempts | Comparison 4 Paroxetine versus placebo, Outcome 9 Suicide wishes/gestures/attempts | Comparison 5 Vilazodone versus placebo, Outcome 9 Suicide wishes/gestures/attempts | Comparison 1 All antidepressants versus placebo, Outcome 10 Average score/change in quality of life/satisfaction | Comparison 2 Each class of antidepressant versus placebo, Outcome 10 Average score/change in quality of life/satisfaction | Comparison 3 Escitalopram versus placebo, Outcome 10 Average score/change in quality of life/satisfaction | Comparison 4 Paroxetine versus placebo, Outcome 10 Average score/change in quality of life/satisfaction | Comparison 5 Sertraline versus placebo, Outcome 10 Average score/change in quality of life/satisfaction | Comparison 6 Venlafaxine versus placebo, Outcome 10 Average score/change in quality of life/satisfaction | Comparison 1 All antidepressants versus placebo, Outcome 11 Dropouts due to a lack of efficacy | Comparison 2 Each class of antidepressant versus placebo, Outcome 11 Dropouts due to a lack of efficacy | Comparison 3 Agomelatine versus placebo, Outcome 11 Dropouts due to a lack of efficacy | Comparison 4 Duloxetine versus placebo, Outcome 11 Dropouts due to a lack of efficacy | Comparison 5 Escitalopram versus placebo, Outcome 11 Dropouts due to a lack of efficacy | Comparison 6 Paroxetine versus placebo, Outcome 11 Dropouts due to a lack of efficacy | Comparison 7 Sertraline versus placebo, Outcome 11 Dropouts due to a lack of efficacy | Comparison 8 Venlafaxine versus placebo, Outcome 11 Dropouts due to a lack of efficacy | Comparison 9 Vilazodone versus placebo, Outcome 11 Dropouts due to a lack of efficacy | Comparison 10 Vortioxetine versus placebo, Outcome 11 Dropouts due to a lack of efficacy | Comparison 1 All antidepressants versus placebo, Outcome 12 Dropouts due to adverse effects | Comparison 2 Each class of antidepressant versus placebo, Outcome 12 Dropouts due to adverse effects | Comparison 3 Agomelatine versus placebo, Outcome 12 Dropouts due to adverse effects | Comparison 4 Duloxetine versus placebo, Outcome 12 Dropouts due to adverse effects | Comparison 5 Escitalopram versus placebo, Outcome 12 Dropouts due to adverse effects | Comparison 6 Paroxetine versus placebo, Outcome 12 Dropouts due to adverse effects | Comparison 7 Sertraline versus placebo, Outcome 12 Dropouts due to adverse effects | Comparison 8 Venlafaxine versus placebo, Outcome 12 Dropouts due to adverse effects | Comparison 9 Vilazodone versus placebo, Outcome 12 Dropouts due to adverse effects | Comparison 10 Vortioxetine versus placebo, Outcome 12 Dropouts due to adverse effects",mental_health
CD012967_pub2_data,10.1002/14651858.CD012967.pub2,other,3,Change in validated symptom score at 6 months | Change in validated symptom score at 24 months | Change in impairment score at 6 months | Change in impairment score at 24 months | Adverse events leading to cessation of treatment,other
CD012993_pub2_data,10.1002/14651858.CD012993.pub2,"infection, mental_health, pain",6,Change in 6MWT from baseline | Change in FVC from baseline | Infusion reactions | Quality of life (measured by PCS in SF-36) | Treatment-related adverse events | Adverse events | Infusion-associated reactions | Change in 6MWD from baseline | Change in sitting FVC (% predicted) from baseline to 52 weeks | Change in % predicted SNIP from baseline to 52 weeks | Infusion reactions - total | Quality of life - PROMIS - physical function score | Quality of life - PROMIS - fatigue score | Treatment-emergent adverse events - total | Treatment-emergent adverse events (breakdown 1) | Treatment-emergent adverse events (breakdown 2) | Change in 6MWT | Change in % predicted 6MWT | Change in EQ-5D-5L (from baseline to 49 weeks) | Change in health-related quality of life (from baseline to 49 weeks) | Treatment-emergent adverse events | Treatment-emergent adverse events - breakdown,infection OR mental_health OR pain
CD012997_pub3_data,10.1002/14651858.CD012997.pub3,neurological,4,Incidence of HUS | Adverse events | Adverse events: treatment emergent | Neurological complications | Death (any cause),neurological
CD013023_pub2_data,10.1002/14651858.CD013023.pub2,infection,5,Arterial catheter failure | Dislodgement | Occlusion | Adverse events | Incidence of catheter-related bloodstream infection,infection
CD013038_pub3_data,10.1002/14651858.CD013038.pub3,infection,7,Time to reach full sucking feeds (days) | Time to reach full sucking feeds (days) – by type of exposure | Duration of parenteral nutrition (days) | Time to reach full enteral feeds (days) | Time to reach full enteral feeds (days) – by type of exposure | Necrotising enterocolitis during hospitalisation | Late infection during hospitalisation | Time to first discharge home (days) | Time to first discharge home (postmenstrual age in weeks) | Time to first discharge home (days) – by type of exposure | Time to first discharge home (postmenstrual age in weeks) – by type of exposure,infection
CD013042_pub2_data,10.1002/14651858.CD013042.pub2,pain,23,"Mean pain (0 to 10, 0 is no pain) | Mean disability (0 to 100, 0 is no disability) | Mean grip strength (lb/in2) | Health-related quality of life (SMD) | Participant reported treatment success | Proportion of overall withdrawals | Proportion with any adverse event | Pain-free grip strength (SMD) | Proportion on sick leave | Mean health related quality of life | Pain free grip strength (SMD) | Mean pain free grip strength (kg) | Mean health-related quality of life | Participant-reported treatment success | Mean grip strength (kg) | Mean health-related quality of life (1 to 3, 1 = perfect health) | Mean grip strength (pain-free, kg) | Mean elbow disability (0 to 100, 0 is no disability) | Mean health-related quality of life (EQ-5D utility score) | Mean grip strength (affected side/unaffected side x 100) | Subgroup analysis: pain end of intervention | Subgroup analysis: disability end of intervention",pain
CD013051_pub3_data,10.1002/14651858.CD013051.pub3,"diabetes, pain",13,Resolution of ear discharge | Subgroup analysis: CSOM diagnosis | Resolution of ear discharge (1 to up to 2 weeks) | Resolution of ear discharge (2 to up to 4 weeks) | Ear pain/discomfort/local irritation,diabetes OR pain
CD013052_pub3_data,10.1002/14651858.CD013052.pub3,"infection, pain",16,Resolution of ear discharge at 1 to 2 weeks  | Resolution of ear discharge (1 to 2 weeks) | Resolution of ear discharge (2 to 4 weeks) | Subgroup analysis: CSOM diagnosis | Ear pain | Ototoxicity | Resolution of ear discharge (after 4 weeks) | Serious complications | Resolution of ear discharge at 2 to 4 weeks | Resolution of ear discharge after 4 weeks | Sensitivity analysis: resolution of ear discharge at 2 to 4 weeks | Sensitivity analysis: resolution of ear discharge after 4 weeks | Suspected ototoxicity,infection OR pain
CD013053_pub3_data,10.1002/14651858.CD013053.pub3,other,6,"Resolution of ear discharge | Subgroup analyses: diagnosis of chronic suppurative otitis media (CSOM) | Resolution of ear discharge – sensitivity analysis, re-including excluded case",other
CD013054_pub3_data,10.1002/14651858.CD013054.pub3,"diabetes, pain",16,Resolution of ear discharge 2 to 4 weeks | Resolution of ear discharge 1 to 2 weeks | Ear pain or discomfort | Sensitivity analysis: unpublished - resolution of ear discharge 1 to 2 weeks | Resolution of ear discharge after 4 weeks | Dizziness/vertigo/balance | Subgroup analysis: resolution of ear discharge - CSOM diagnosis | Subgroup analysis: resolution of ear discharge - age | Ear pain or discomfort at 2 to 4 weeks,diabetes OR pain
CD013055_pub3_data,10.1002/14651858.CD013055.pub3,pain,3,"Resolution of ear discharge (2 to 4 weeks) | Resolution of ear discharge (after 4 weeks) | Resolution of ear discharge (3 to 4 months) | Resolution of ear discharge (1 to 2 weeks) | Ear pain, discomfort, irritation",pain
CD013056_pub3_data,10.1002/14651858.CD013056.pub3,"diabetes, pain",10,"Resolution of ear discharge (1–2 weeks) | Resolution of ear discharge (2–4 weeks) | Ear pain, discomfort, irritation | Change in hearing | Resolution of ear discharge (after 4 weeks)",diabetes OR pain
CD013057_pub3_data,10.1002/14651858.CD013057.pub3,other,2,Resolution of ear discharge (after 4 weeks) | Resolution of ear discharge (1–2 weeks) | Vertigo/dizziness/tinnitus,other
